country_name,countryiso3code,date,gdp_growth,inflation,external_debt,reserves,gdp_per_capita,gdp_growthz,inflationz,external_debtz,reservesz,gdp_per_capitaz,risk_score,risk_category
Senegal,SEN,2021,6.5440010991951,2.18032278088147,114.383429271668,,1598.10676952274,0.7178325450764461,-0.8837520214341984,2.052845887150557,,0.08798647022532347,0.36327485041458907,Medium Risk
Sierra Leone,SLE,2021,5.8968527047094,11.8739588840234,35.6443712586542,945907747.182478,885.396401613729,0.3882954308527164,1.2003858995393137,-0.6610664296027899,-0.4728523786797703,-0.6472917307368649,0.7983157698206722,High Risk
Togo,TGO,2021,5.13562929064506,4.1862150652352,42.3995466501444,,1076.29520076949,0.0006697034495694088,-0.45248390586559584,-0.4282346665689429,,-0.45034815880469703,-0.43104011707941103,Low Risk
Benin,BEN,2020,3.84879240030133,3.02272119663759,54.7130728796589,,1200.19426557789,0.7096647908143822,-0.5000411862808031,0.03357192605007189,,-0.2079941898172841,-0.9681398612278291,Low Risk
Burkina Faso,BFA,2020,2.01077262406221,1.88470066518847,57.1113882568484,,825.237038782475,0.4180503307318558,-0.7063585818933552,0.1107142081131019,,-0.6306077377771837,-0.3830869667349255,Medium Risk
Cote d'Ivoire,CIV,2020,0.699728593494228,2.41252617189053,41.0439427377816,,2179.72934832935,0.21004419170064936,-0.6106664736481944,-0.40609831206375724,,0.8960378626137436,-2.1228468400263445,Low Risk
Cabo Verde,CPV,2020,-20.8052758990735,0.605795808395385,136.237789037921,735084797.415375,3539.22661248299,-3.2018724564456784,-0.9382175967336251,2.655830328261952,-0.4564207642137081,2.4283245374328675,2.4911606505411386,High Risk
Ghana,GHA,2020,0.513941670628171,9.88728956269944,56.9614944269336,7884091538.70727,2195.45481659987,0.1805678204981391,0.7444705146519971,0.1058928438268311,0.0575788367398934,0.913762006767288,-0.243966468786599,Medium Risk
Guinea,GIN,2020,4.70459096113575,10.6016203387167,29.5290885441345,1499116032.51595,1053.66097696415,0.8454431096787084,0.8739750896934567,-0.7764758439636426,-0.40148841288586246,-0.3731515692990599,-0.3747922946498343,Medium Risk
"Gambia, The",GMB,2020,0.591487287873974,5.93127636562441,53.9987549889751,387046403.563775,720.335143352133,0.19287096521792646,0.027265229444980943,0.010595751719582857,-0.48144404395451407,-0.7488424564261039,0.5938324723727413,High Risk
Guinea-Bissau,GNB,2020,2.89149979806913,1.14000939393222,65.4005295790784,,846.918134967613,0.5577837452729973,-0.8413673619417663,0.37733605610755755,,-0.6061710171923571,-0.41564403391484883,Medium Risk
Liberia,LBR,2020,-2.98249127649473,16.9557241496255,50.5491696677525,340965880.534905,616.787867006715,-0.37416527828074664,2.025942135533269,-0.10036083321549999,-0.4847571434249297,-0.8655503865863564,3.1652969671848723,High Risk
Mali,MLI,2020,-1.16910834857605,0.438088940320669,29.1259873468337,,953.242943290974,-0.08645962337756431,-0.968622007982211,-0.7894416726273289,,-0.4863325362388775,-1.185271520993098,Low Risk
Niger,NER,2020,4.45481803846413,2.8981937602627,34.5774485452582,,575.451340306915,0.80581492018384,-0.5226173838494528,-0.6140943594990028,,-0.9121407039893419,-1.0303859595429539,Low Risk
Nigeria,NGA,2020,-6.36889840468527,13.2460234276598,20.4924439613801,38028751517.615,2797.184580679,-0.9114420252848165,1.3533920625716138,-1.0671412801845903,2.2249209250536324,1.5919704325227566,-0.3942776248509168,Medium Risk
Senegal,SEN,2020,1.34207377285524,2.54314685681662,107.855994435083,,1461.08720350553,0.3119566657052848,-0.5869856007796159,1.7429243670481123,,0.08605772399058166,0.7579243765726299,High Risk
Sierra Leone,SLE,2020,-1.2533490322766,13.4468711101052,32.9305757433431,707703898.12545,845.277558236182,-0.09982498636869834,1.389804736694624,-0.667066344507974,-0.4583893973145112,-0.6080201079782478,1.4305834865335962,High Risk
Togo,TGO,2020,2.15900131150536,1.69928463299399,34.5123945153137,,961.219781201934,0.4415678299537207,-0.7399735754809191,-0.6161868350654132,,-0.4773418580224228,-1.32038638247763,Low Risk
